gamma_1,gamma_3,gamma_5,gamma_10,gamma_15,gamma_25,short_cons,D_max,timestamp,T-bills rf
1016.7398820755798,1014.9280498441594,1014.4689472946246,1014.842572724195,1014.649743954464,1013.2516904318834,LS,1000.0,2007-10-10,477.0459
1023.4919989896123,1020.5440016129808,1018.8566383086691,1018.1315304741704,1017.5522782735208,1015.3734341709826,LS,1000.0,2007-10-11,477.026
1020.3211839926151,1017.2600135941226,1015.4421140484455,1015.0395938461627,1014.7290175163662,1013.135455981169,LS,1000.0,2007-10-12,477.0024
1026.9606517293305,1022.8293798185692,1019.8872716301507,1018.2980986954674,1017.5273063631583,1015.2213163326425,LS,1000.0,2007-10-15,477.0854
1018.9477374835533,1015.5891805810567,1013.0716267420404,1012.5982530859295,1012.5462790158743,1011.1715163160075,LS,1000.0,2007-10-16,477.1822
1019.0156378049185,1017.1066100821369,1015.7109984087003,1016.5679561730022,1017.0482997286385,1015.9981432714857,LS,1000.0,2007-10-17,477.4737
1018.0495561095346,1017.3671488522222,1016.3049777588539,1018.1783621149845,1019.2363711753986,1018.7149267959304,LS,1000.0,2007-10-18,477.6776
1001.6794746153352,1003.1262450529244,1003.8298160303043,1008.3334095781355,1010.752079928304,1011.6147338734418,LS,1000.0,2007-10-19,477.7221
994.6989590577074,996.5756937023306,997.9496039846665,1003.5077723713775,1006.5047456847394,1008.016746250031,LS,1000.0,2007-10-22,477.784
995.3998302302983,997.2358358793615,998.2891146501981,1004.6171216711109,1008.0986664726827,1010.0443017507147,LS,1000.0,2007-10-23,477.8158
1003.2793403771643,1004.7986645968437,1005.8057988376528,1010.7080394800447,1013.2758004317319,1014.301668641683,LS,1000.0,2007-10-24,477.9558
1014.1683711971091,1015.2025062791013,1015.7176006531223,1018.2472187319981,1019.3493689618496,1018.8749749935935,LS,1000.0,2007-10-25,477.9317
1022.8460082890654,1023.4960307391598,1023.7091251682515,1025.5870692325586,1026.3368692221336,1025.479583476208,LS,1000.0,2007-10-26,477.9643
1033.0290205807482,1033.3126843443174,1033.1711157177538,1034.0128502273044,1034.1122986755581,1032.5775177446171,LS,1000.0,2007-10-29,478.1046
1024.9429364958378,1025.4525891323387,1025.3993821533497,1027.9006786727452,1029.1250824353772,1028.7055381259734,LS,1000.0,2007-10-30,478.1687
1031.7245099469224,1032.304602429003,1032.171690727746,1032.7904017962785,1032.7514841716406,1031.083087005943,LS,1000.0,2007-10-31,478.2535
